id,text,user_id,user_name,created_at,likes,reply_to_id,reply_to_text
5076759242608969,公众人物应该谨慎发言，公众博主不用吗？“后续有消息称，很多人拨打这个电话，导致原手机号主被迫关机。” 请问哪里来的后续消息，有人证实吗？有任何人联系到原手机号主了吗？ 张杰粉丝从头到尾只是呼吁不要打扰任何人，而各位帮助“素人”的方式就是一次又一次传播他人个人隐私并且把人送上热搜吗？,2301946402,小杰永远,Mon Sep 09 18:19:48 +0800 2024,60,,
5076762255431976,两天了，哪里有素人出来说收到骚扰了,7226698855,柚柚柚柚柚柚子x,Mon Sep 09 18:31:46 +0800 2024,59,,
5076754786159713,我也想知道，后续被打到关机素人电话有证实吗,5864138780,别吵啦c,Mon Sep 09 18:02:05 +0800 2024,60,,
5076762358977238,机主告诉你了？你得到“被迫关机”的证实了？一张嘴就靠编 新闻五要素你是一点不符合啊,6359340676,AKA-乐坛清道夫,Mon Sep 09 18:32:11 +0800 2024,36,,
5076760619911137,我吃🍉也是有要求的好吧，刷几天了也没看到素人发言维权，倒是无良yxh一直在传播,5737010482,小张贼嚣张Y,Mon Sep 09 18:25:16 +0800 2024,38,,
5076761169103524,挺搞笑你们，本来事件都弱化了，你们硬是又搞得人尽皆知，这下更多人知道一个号码了，打扰更多了，素人谢谢你嘞,7203442989,随便是但都得啦,Mon Sep 09 18:27:27 +0800 2024,30,,
5076761672418502,啥消息称啊？谁给你说的？还是你趴床底听到的？,7826383881,呆呆杰的呆呆毛,Mon Sep 09 18:29:27 +0800 2024,22,,
5076763172406608,不是 有素人证实自己被打扰了吗烙铁[好运连连]到底是谁在传播啊 你这号码都打出来了[好运连连],5949090732,对你发呆想法奇怪oO,Mon Sep 09 18:35:25 +0800 2024,25,,
5076761929583451,不用证据，纯栽赃陷害啊,5517791066,风吹过衣裳,Mon Sep 09 18:30:28 +0800 2024,27,,
5076762578387600,到现在也没看到哪个被骚扰的素人出来说话是谁在传播不实消息啊,7911117236,Star_Accompany,Mon Sep 09 18:33:03 +0800 2024,13,,
5076763354858374,“有消息称”你们不是媒体吗，只会在网上听风就是雨，煽动言论，是借此网暴吗？,6595468705,海盐绿画布,Mon Sep 09 18:36:08 +0800 2024,21,,
5076761290736923,硬黑你们是一把好手,7482657514,菠萝碎冰碎冰冰,Mon Sep 09 18:27:56 +0800 2024,10,,
5076763355121814,假正义，真霸凌。未经证实的“素人”凭空出现的“被迫停机”把网友玩的团团转啊始作俑者是你们二次传播的人,7623857429,狂想的Maybe,Mon Sep 09 18:36:08 +0800 2024,14,,
5076763296661604,3天时间没看到有粉丝打电话的任何实质性证据，没看到所谓“素人机主”的任何维权发声，我只看到了从媒体到各怀心事的正义人士对张杰进行的一场彻底的绞杀,7149564267,维他命售卖机,Mon Sep 09 18:35:53 +0800 2024,10,,
5076770532102425,公众人物应该谨慎发言，公众博主不用吗？“后续有消息称，很多人拨打这个电话，导致原手机号主被迫关机。” 请问哪里来的后续消息，有人证实吗？有任何人联系到原手机号主了吗？ 张杰粉丝从头到尾只是呼吁不要打扰任何人，而各位帮助“素人”的方式就是一次又一次传播他人个人隐私并且把人送上热搜吗？,6288870414,DJ八花的公主_鲸落,Mon Sep 09 19:04:39 +0800 2024,7,,
5076763178698824,作为新闻媒体人真实性你做到了吗？你求证了吗？请问你建议到当事人了吗？这些都没有的话你算什么蓝V,6622642302,轻轻说爱别走远,Mon Sep 09 18:35:26 +0800 2024,6,,
5076761069224674,是个粉丝都知道是出生年月日吧，不明白这件事为什么会被放大,3829273070,梦里有李511,Mon Sep 09 18:27:02 +0800 2024,10,,
5076768093899298,省流：还没回应，请仔细看标题,2270764977,比奇堡常住公民,Mon Sep 09 18:54:58 +0800 2024,2,,
5076752881944290,难道不应该是那些打电话骚扰的人的问题吗,5451552678,俞佳玲angle,Mon Sep 09 17:54:31 +0800 2024,17,,
5076766919492191,所谓的素人在哪呢？没有素人，道什么歉，未经证实的信息别乱传 你们的真实性呢？ 您方有得到张杰方证实确有此事吗？或者您方已联系了号主得到证实？,5236626146,星河玫瑰贩卖处,Mon Sep 09 18:50:17 +0800 2024,6,,
5076766368470527,新闻传播的真实性您有做到吗？您方有得到张杰方证实确有此事吗？或者您方已联系了号主得到证实？,7295863433,星星枕在怀里,Mon Sep 09 18:48:07 +0800 2024,3,,
5076766324427843,怎么现在说真话的都被捂嘴了，素人在哪？打电话的粉丝在哪？维权声明在哪？,5344301919,缺个旺旺仔-,Mon Sep 09 18:47:56 +0800 2024,3,,
5076762912621851,新闻传播的真实性您有做到吗？您方有得到张杰方证实确有此事吗？或者您方已联系了号主得到证实？,7559202680,houjj佳,Mon Sep 09 18:34:23 +0800 2024,4,,
5076770489369756,新闻传播的真实性您有做到吗？您方有得到张杰方证实确有此事吗？或者您方已联系了号主得到证实？,6288870414,DJ八花的公主_鲸落,Mon Sep 09 19:04:29 +0800 2024,2,,
