title,publish_time,like_count,comment_count,media_name,source,abstract,article_url,tag,is_yaowen,article_sub_type,has_video
央视曝光后，火速道歉！,2025-03-15 16:05,187,360,澎湃新闻,澎湃新闻,3月15日，啄木鸟家庭维修被央视“3·15”晚会曝光“无病乱修、小病大修、乱收费，坑骗消费者”等乱象。,http://mp.weixin.qq.com/s?__biz=MjM5MzI5NTU3MQ==&mid=2652429621&idx=1&sn=5bc870caae40bd42af28e1025ea13c5b,,0,0,False
最新发布：2025年央视3.15晚会曝光全名单！,2025-03-15 16:08,4490,1511,赣鄱儿女网,赣鄱儿女网,以下为晚会核心信息及近期相关动态:注意:本文内容编辑最新来源于央视3.15晚会现场，所涉相关企业等信息均是央视新闻及央视财经相关记者报道，信息披露严格遵守相关法律!,https://toutiao.com/group/7482068304408871458/,,0,0,False
热搜爆了！李嘉诚，大消息,2025-03-15 14:48,3139,3717,21世纪经济报道,21世纪经济报道,3月15日，＃李嘉诚要卖43个港口给美国企业＃＃李嘉诚要卖港口官方转发莫天真勿糊涂＃ 话题冲上热搜。3月13日，国务院港澳办转载一篇来源为《大公报》的评论文章，题为《莫天真 勿糊涂》。,http://mp.weixin.qq.com/s?__biz=MjI3Njc0NTk4MQ==&mid=2650460240&idx=1&sn=62d86b20804718f847ba06f2175a0f14,,0,0,False
3·15晚会刚刚曝光：严重超标！工人坦言：我自己从来不吃,2025-03-15 13:14,5894,3873,福建日报,福建日报,点开多家电商平台，很多消费者都会看到这样的广告推送，新鲜、饱满、有嚼劲的虾仁，只要你轻轻一点，一两天的时间，它就能出现在你的餐桌上，孩子老人都喜欢。,https://toutiao.com/group/7482023928647385639/,,0,0,False
