title,publish_time,like_count,comment_count,media_name,source,abstract,article_url,tag,is_yaowen,article_sub_type
习近平在陕西宝鸡市和甘肃天水市考察调研,2024-09-11 13:33,4749,2264,新华社,新华社,10日下午至11日上午，习近平总书记先后来到陕西省宝鸡市和甘肃省天水市考察调研。在宝鸡市，习近平考察了宝鸡青铜器博物院、渭河生态公园，了解当地加强文物保护利用和开展渭河生态保护治理等情况。,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&mid=2650072146&idx=1&sn=1c1a1070e4940f31723bab6ca616d9ec,,0,0
闹大了！江西多名城管殴打男子，女子掩面痛哭，原因曝光令人心痛,2024-09-11 11:07,669,509,清茶嘚吧嘚,清茶嘚吧嘚,江西又出名了。多名执法人员按着一名男子暴打，人散后，只留下一名女子搂着被打男子痛哭。那场面不禁看的让人心酸，更让人对这几名执法人员气不打一处来。9月11日，一名网友在某社交平台发布了一段多人殴打一人的视频。,https://toutiao.com/group/7413339521133298188/,,0,0
9000元已到账！辛巴以行业慰问金名义3倍“赔付”三只羊消费者，有网友晒收款截图,2024-09-11 22:02,261,461,大河报,大河报,大河报·豫视频记者 梁奇慧9月11日晚8点，辛巴没有如期开启直播，其快手账号直播功能显示已被封禁。11日晚10点多，有多名网友在其账号最新视频的评论区中发布与辛选客服对话的截图。截图显示，当消费者发送“梅菜扣肉”“茅台”等关键词后，辛选客服回复将提供“行业慰问金”。,https://toutiao.com/group/7413508848390128182/,,0,0
足协宋主席坐不住了！国足11人踢不过沙特10人，到底如何解救国足,2024-09-11 13:57,190,807,刘小茂闲谈,刘小茂闲谈,足协宋主席坐不住了！3个进球全是沙特进的，到底如何解救国足呢中国最稳定的体育项目到底是什么呢？很多人可能答案都基本一致，那必须是我们的伟大足球。只要是面对比他们体力好的，身材好的，基本上输的节奏。哪怕可能对面只有10人，我们的国足11人，那都未必能打得过他们，比如9.,https://toutiao.com/group/7413384262344245787/,,0,0
巴布亚旅行偶遇特大洪水，险象环生“命悬一线”,2024-08-23 12:20,14181,630,耀阳环游记,耀阳环游记,,https://toutiao.com/group/7406308858471121443/,,0,0
国际丨哈里斯在闭麦情况下反驳特朗普 特朗普白眼回应,2024-09-11 03:32,3242,1652,新京报,新京报,,https://m.bjnews.com.cn/detail/1726025482129434.html,,0,0
深夜公告：创始人去世，年仅50岁！他“下海”7年变身百亿富豪，身家曾超马化腾、曹德旺！,2024-09-11 09:54,182,111,红星新闻,红星新闻,9月10日夜间，恒鼎实业(01393.HK）公告称，公司董事会主席、执行董事以及主要股东鲜扬因病医治无效，已于2024年9月10日辞世。,https://toutiao.com/group/7413321412489806371/,,0,0
2024年巴黎残奥会完美收官，网友：这奖牌数看着真叫人舒服！,2024-09-08 13:32,2311,775,泼墨江湖事,泼墨江湖事,写在开头2024年巴黎残奥会，可不只是各种体育比赛的聚集之地，更是人类坚韧精神的绝佳展现舞台！五星红旗在赛场上频频升起，《义勇军进行曲》在巴黎的天空中屡屡奏响，中国体育代表团以断层式领先的奖牌数量震惊全球。,https://toutiao.com/group/7412257691202110004/,,0,0
日本人评论华为三折叠手机，日本人：感觉路走错了！,2024-09-11 16:43,1282,541,小悟快跑,小悟快跑,,https://toutiao.com/group/7413427193172197951/,,0,0
被足协处罚终身禁足，朱建荣转行养牛，发文告别足球：对不起球迷，也对不起陪伴了我27年的足球,2024-09-11 09:38,122,341,九派新闻,九派新闻,9月10日，中国足协官方发布对有关涉案人员行业处罚情况通报，包括60张罚单，其中金敬道、孙准浩、郭田雨、杨善平、顾超、朱建荣等43人终身禁赛，汪嵩等17人被禁止从事足球相关任何活动5年。,https://toutiao.com/group/7413316864305742377/,,0,0
