title,media_name,source,abstract,article_url,comment_count,like_count,share_count,share_url,publish_time,tag,read_count,is_yaowen,article_sub_type
习近平出席中非合作论坛北京峰会开幕式并发表主旨讲话,央视新闻,央视新闻,9月5日上午，国家主席习近平在北京人民大会堂出席中非合作论坛北京峰会开幕式并发表主旨讲话。习近平宣布，中国同所有非洲建交国的双边关系提升到战略关系层面，中非关系整体定位提升至新时代全天候中非命运共同体，将实施中非携手推进现代化十大伙伴行动。,https://toutiao.com/group/7411075307085611554/,928,1807,,,2024-09-05 16:56,,,0,0
俄罗斯2个导弹旅杀进库尔斯克，普京下令对乌军一个不留,孙绪闻,孙绪闻,,https://toutiao.com/group/7410698496095584806/,160,4835,,,2024-09-04 16:15,,,0,0
2年前，那个扛着75岁养父看升国旗的河南女孩，现在怎么样了？,何止电影,何止电影,当五星红旗冉冉升起时，所有人都目不转睛的盯着它。当媒体采访这对父女时却发现了不为人知的一面，原来他们并不是亲生父女，女孩是老人20年前抱养来的弃婴。,https://toutiao.com/group/7394392129163805218/,213,1135,,,2024-07-22 17:45,,,0,0
杨蕾，六大纪律全部违反,新京报,新京报,据河南省纪委监委8月2日消息：经中共河南省委批准，河南省纪委监委对省民政厅原党组成员、副厅长杨蕾严重违纪违法问题进行了立案审查调查。,https://m.bjnews.com.cn/detail/1722568666129889.html,1790,1815,,,2024-08-02 11:22,,,0,0
