title,publish_time,like_count,comment_count,media_name,source,abstract,article_url,tag,is_yaowen,article_sub_type
联播观察｜中非共建“一带一路”启新篇,2024-09-08 01:41,1434,174,央视网,央视网,联播+中非共建“一带一路”，是造福中非人民的共同繁荣之路。截至9月2日，52个非洲国家以及非洲联盟与中国签署了共建“一带一路”合作谅解备忘录。从“硬联通”到“软联通”，再到“心联通”，通过共建“一带一路”，中非合作硕果累累。“互利合作是符合各国长远和根本利益的阳光大道。,https://toutiao.com/group/7412080714713170442/,,0,0
全面接手娃哈哈一周，宗馥莉遭遇员工集体诉讼维权？娃哈哈紧急发声明,2024-09-07 10:07,124,124,极目新闻,极目新闻,9月7日，#娃哈哈遭多名前员工起诉#冲上热搜。据中国工业报报道，多位娃哈哈集团前员工和内部职员称，因为娃哈哈集团近期要求员工重新签署劳动合同、以较低价格回收员工持股会股权，日前已有几十名员工发起集体诉讼维权并已进入司法程序，坐等法院正式受理。,http://jms.ctdsb.net/jmythshare/#/index_share?cId=0&contentType=5&contentId=2248303,,0,0
乌军虐待俄罗斯战俘，扒掉衣服绑起来电击，不骂普京就打耳光,2024-09-05 03:03,1248,534,第一军情,第一军情,据俄罗斯媒体9月5日报道，日前互联网上流传了一则“令人担忧”的视频，视频显示，攻入库尔斯克的乌军俘虏了多名俄军士兵，在一处明显是民宅的室内，乌军对俄战俘实施了惨无人道的虐待，逼迫俄战俘辱骂普京，高喊乌克兰口号，并且贬低俄罗斯。,https://toutiao.com/group/7410987894074032675/,,0,0
国足3天后对阵西亚劲旅沙特，中国足协主席：要力争打出主场优势和血性,2024-09-07 10:21,698,4530,极目新闻,极目新闻,北京时间9月10日晚，世预赛亚洲区18强赛第三阶段的比赛，中国队将在大连坐镇主场对阵西亚劲旅沙特阿拉伯。目前，首场不敌日本队的中国男足正在梭鱼湾球场进行训练。,http://jms.ctdsb.net/jmythshare/#/index_share?cId=0&contentType=5&contentId=2248321,,0,0
上海浦东警方通报一起交通事故 5人经送医抢救无效死亡,2024-09-08 06:39,136,173,极目新闻,极目新闻,据@警民直通车-浦东微博通报，9月8日10时18分许，华东路集海路路口发生一起交通事故。经调查，乔某某（男，43岁）驾驶一辆集卡车直行经过该路口时，为避让对向车道王某某（男，46岁）驾驶的左转车辆，向右打方向导致集卡车侧翻，压到一辆途经小客车，小客车内5人经送医抢救无效死亡。,http://jms.ctdsb.net/jmythshare/#/index_share?cId=0&contentType=5&contentId=2248879,,0,0
乌克兰驻日大使的这一拜，不仅送走了乌外长，也送走了自己的国运,2024-09-07 09:25,4340,970,中华网,中华网,乌克兰驻日大使现身靖国神社“拜鬼”，这一拜送走了乌克兰外长,https://toutiao.com/group/7411830014410228243/,,0,0
女司机嫌大娘占路晒玉米，把车停到玉米上走人，大娘：这是我院子,2024-08-23 02:48,6527,4832,今日国土杂志社,今日国土杂志社,,https://toutiao.com/group/7406161398666887717/,,0,0
豪哥哥搞笑改编：印度版神曲改编又来了，网友：改编界的牛人！,2024-09-07 12:18,2417,111,君君搞笑收集,君君搞笑收集,,https://toutiao.com/group/7411566544871752192/,,0,0
我六万艘渔船冲向金门，万船齐发剥夺台海巡署执法,2024-09-07 06:50,7946,641,孙绪闻,孙绪闻,,https://toutiao.com/group/7411789961566880290/,,0,0
张博宇：张丰毅吕丽萍的亲儿子，今却走上父母老路，成为离婚人士,2024-08-20 06:16,1132,175,稻述,稻述,文 | 招财小羊编辑 | 招财小羊“这是张丰毅的儿子？怎么看起来这么邋遢？”8月19日，李亚鹏的二婚妻子海哈金喜晒出了一条视频。没想到，却偏偏让张博宇成为了最大的话题人物！原来，那天海哈金喜现身北京参加了大学同学的婚礼。而在多个镜头之中，张博宇的身影忽隐忽现。,https://toutiao.com/group/7405097740415304230/,,0,0
转发网上实名举报视频,2024-09-08 02:18,15783,3533,方方言,方方言,,https://toutiao.com/group/7412090841595904564/,,0,0
今天已经进入覆地 发现眼前这一幕 令人毛骨悚然 锅碗瓢盆都在,2024-08-02 09:21,3861,274,小陶在旅途1314,小陶在旅途1314,,https://toutiao.com/group/7398469841717297690/,,0,0
内蒙出大事 '稀土矿床' 惊见'两种新矿物',2024-09-07 08:16,1715,215,无前,无前,,https://toutiao.com/group/7411779667205554700/,,0,0
“带母上学”研究生杨元元，在宿舍自缢：没人甘愿被脐带拴一辈子,2024-09-03 04:07,741,431,史之春秋,史之春秋,武汉大学本科毕业，上海海事大学国际法专业硕士研究生，期间两次考上过公务员，她的每一个身份和学习经历都让人忍不住拍手称赞。,https://toutiao.com/group/7410261360619864586/,,0,0
确实有杀气 ，任何军队都是随时准备打仗的，不是表演的。,2024-09-07 08:07,2399,1362,王宇航,王宇航,,https://toutiao.com/group/7411809795004596788/,,0,0
山东大爷寻36年前初恋，怀疑给他生过孩子，不料女方出现狠狠打脸,2024-07-04 14:45,4932,587,天下战史,天下战史,"#长文创作激励计划#""这件事情困扰我整整36年！""2014年，山东大爷杨其放刚离了婚，就马不停蹄地来到深圳卫视《你有一封信》节目，想要找到昔日的初恋。重逢的一刻，杨其放立马就问出了心中的疑问：“你是不是给我生过一个孩子？",https://toutiao.com/group/7387788305246470671/,,0,0
30年后的高层会变成啥样子，提前感受下！,2024-09-06 01:20,6997,2749,高贵河流j,高贵河流j,,https://toutiao.com/group/7411333736752480802/,,0,0
